insert_name,beats_per_minute,kV,mA,ctdi,gt_mass,vf_mass,vf_mass_bkg_mean,vf_mass_bkg_std,agatston_mass,agatston_mass_bkg_mean,agatston_mass_bkg_std
D,0bpm,80.0,10.0,0.1,2.3750440461138838,2.834775296484746,-0.0025409040852556832,0.6708050976776417,3.6109763038666958,2.691208855372784,1.3730294984392752
D,0bpm,80.0,15.0,0.1,2.3750440461138838,1.0306535377580055,-1.5096602247915192,0.8349360813028155,3.4275140322743223,1.5454941196699445,0.9912445406583197
D,0bpm,80.0,20.0,0.2,2.3750440461138838,0.3589961203879588,-0.6372366565080493,1.0565455063723088,1.0577717301283094,1.3775300507389963,1.9309584286695145
D,0bpm,80.0,25.0,0.2,2.3750440461138838,1.278914447958331,0.2881131586637683,1.4529282323696284,1.8736114606891945,1.0988864214118437,0.7143560086222366
D,0bpm,80.0,30.0,0.2,2.3750440461138838,1.7099127920412416,0.4271161482977777,2.1812732741054575,1.3422984414303334,1.131079365721332,1.0323681943424623
D,0bpm,80.0,40.0,0.3,2.3750440461138838,0.49428626066176024,-0.21469487815631907,0.9169169103130046,1.660145561929363,0.39416486445780147,0.2947503160736254
D,0bpm,80.0,50.0,0.4,2.3750440461138838,1.9225102060014745,0.8546489624319218,0.3317076147387927,0.6355145941093971,0.2103920583450211,0.21025396072926864
D,0bpm,80.0,100.0,0.8,2.3750440461138838,1.336156567352029,-0.07989083375741153,0.4677065795240096,0.0,0.024774959192259152,0.042911488076438443
D,0bpm,80.0,150.0,1.2,2.3750440461138838,1.3732481112970927,-0.13981329811599472,0.1492548550553525,0.0,0.0,0.0
D,0bpm,80.0,250.0,2.0,2.3750440461138838,1.4279114051755053,0.27489257767486647,0.3267442756652703,0.0,0.0,0.0
D,0bpm,100.0,10.0,0.2,2.3750440461138838,0.9910485859382736,-0.019928631577284122,1.5631765357528113,1.6566816069818184,2.4428962839272734,1.6705225629250364
D,0bpm,100.0,15.0,0.2,2.3750440461138838,0.029029553027032848,-0.2824357402821325,0.5472520339485145,0.5064553844782772,1.0170098441886373,0.7480843346661699
D,0bpm,100.0,20.0,0.3,2.3750440461138838,2.9359827418357063,-0.7572070503717404,1.1190929886593861,0.980843017040974,0.30865374249957145,0.2201054482664066
D,0bpm,100.0,25.0,0.4,2.3750440461138838,1.6092049435686313,0.17929980992053562,0.4623672954193306,0.45150386021405314,0.2574780508143323,0.256373096800759
D,0bpm,100.0,30.0,0.5,2.3750440461138838,2.3650760722798476,0.42520453542885267,0.08240418593345027,0.11600275509483399,0.0,0.0
D,0bpm,100.0,40.0,0.6,2.3750440461138838,2.1834771908695685,0.10419862495753444,1.1043644988863686,0.08927671907952968,0.0,0.0
D,0bpm,100.0,50.0,0.8,2.3750440461138838,1.7041155259402943,-0.040743854407663406,0.19738958247834912,0.0,0.0,0.0
D,0bpm,100.0,100.0,1.6,2.3750440461138838,1.7191472982138405,-0.010956361166954013,0.5098466840180017,0.0,0.0,0.0
D,0bpm,100.0,150.0,2.4,2.3750440461138838,1.581582685984634,0.033445834200409065,0.20401940614919478,0.0,0.0,0.0
D,0bpm,100.0,250.0,4.0,2.3750440461138838,1.4126398096775707,0.12727987736310503,0.08432027294325599,0.0,0.0,0.0
D,0bpm,120.0,10.0,0.3,2.3750440461138838,3.378523476185992,-0.580630913365134,0.26857358745577314,2.1933485827633383,0.8564182965800274,0.43791813793655543
D,0bpm,120.0,15.0,0.4,2.3750440461138838,2.3302225294074277,-0.7873104716558667,1.2090726699960586,1.212792546718147,0.25120953451737454,0.32240925031243645
D,0bpm,120.0,20.0,0.5,2.3750440461138838,1.873022445279064,-0.14856288443569973,0.22025635940364016,0.14794698632667672,0.28271235522019134,0.4896721631688317
D,0bpm,120.0,25.0,0.6,2.3750440461138838,2.0194605200479994,-0.18214349360494253,0.19990739730965387,0.0,0.01800220481135118,0.031180733381521143
D,0bpm,120.0,30.0,0.8,2.3750440461138838,2.2771691920707817,0.5597771059051909,0.23015733651512793,0.14519247561989396,0.17098751944962023,0.21194450068770113
D,0bpm,120.0,40.0,1.0,2.3750440461138838,2.5412608107374246,-0.053307039554254664,0.14314277112073337,0.12117639440048696,0.0862498648813147,0.08728064304987375
D,0bpm,120.0,50.0,1.3,2.3750440461138838,1.1886084338755243,-0.03768171733898348,0.3716839980793034,0.06128433420277664,0.020925683803113177,0.03624434753011316
D,0bpm,120.0,100.0,2.5,2.3750440461138838,1.5273968757218075,-0.12888493577111013,0.2604799980387624,0.0,0.0,0.0
D,0bpm,120.0,150.0,3.8,2.3750440461138838,1.4754756662778608,0.11158877676853572,0.1630176650318038,0.0,0.0,0.0
D,0bpm,120.0,250.0,6.3,2.3750440461138838,1.2454167286448994,0.053736997451513946,0.07102967805626896,0.0,0.0,0.0
