insert_name,beats_per_minute,kV,mA,ctdi,gt_mass,vf_mass,vf_mass_bkg_mean,vf_mass_bkg_std,agatston_mass,agatston_mass_bkg_mean,agatston_mass_bkg_std
C,0bpm,80.0,10.0,0.1,20.616701789183022,6.291350847426872,0.6147324368384712,10.0364095111857,66.40662496124786,54.59686927558497,32.69073395877614
C,0bpm,80.0,15.0,0.1,20.616701789183022,35.12295226665387,9.923564739415015,26.29553371365616,67.59732477669904,65.70111509126235,50.73027245180402
C,0bpm,80.0,20.0,0.2,20.616701789183022,19.44481651143713,-1.3642078975416745,7.744932136519171,44.09355042230057,41.40136266276765,31.976142119677466
C,0bpm,80.0,25.0,0.2,20.616701789183022,9.630041125121206,-1.6862036271074647,23.528747644378342,34.98861121074515,33.83830444720181,29.731412655525382
C,0bpm,80.0,30.0,0.2,20.616701789183022,14.67404487520648,-0.7358716308912413,6.814476258875586,27.003274454561804,25.038265040942488,22.514752898418248
C,0bpm,80.0,40.0,0.3,20.616701789183022,12.272919433562288,-1.2035696436900398,9.82993857195177,17.24116040680603,14.847143969664566,12.967463546149604
C,0bpm,80.0,50.0,0.4,20.616701789183022,14.195198414569726,3.4858038729081664,10.296747247999411,8.956595582421638,7.854475000010865,7.365353123999313
C,0bpm,80.0,100.0,0.8,20.616701789183022,17.38991980254767,2.07807507146373,4.352539304711657,0.07181684188572672,0.14508971992179018,0.14897831332838118
C,0bpm,80.0,150.0,1.2,20.616701789183022,17.2366492189911,2.2875817663592284,6.2729300321605415,0.0,0.048047986371082235,0.0832215535960914
C,0bpm,80.0,250.0,2.0,20.616701789183022,16.950589296484377,1.7508359531733515,7.20811549708553,0.0,0.0,0.0
C,0bpm,100.0,10.0,0.2,20.616701789183022,22.84690248144875,2.7074428706202736,11.6538132698309,59.80428664674193,51.71304012485737,39.44956537266564
C,0bpm,100.0,15.0,0.2,20.616701789183022,20.914158936381234,-1.0673199546994698,5.919187015476282,29.711326944071825,22.357828297163916,19.85276811384439
C,0bpm,100.0,20.0,0.3,20.616701789183022,6.142093652422183,0.6815347461421378,6.577149473259419,11.713696300546506,9.322649521381251,9.47568168693319
C,0bpm,100.0,25.0,0.4,20.616701789183022,17.927566403858705,-2.452098228921843,8.765889204732678,7.7503926590552625,6.076423718939928,5.659519984767464
C,0bpm,100.0,30.0,0.5,20.616701789183022,22.18549699066034,1.2699135256322343,7.54792225577216,5.232805279855726,2.427860302831379,2.8345074085459747
C,0bpm,100.0,40.0,0.6,20.616701789183022,18.854418637275824,1.1126728902757528,7.81382002881269,0.7952947784312544,0.7526352884004591,0.6988558813784491
C,0bpm,100.0,50.0,0.8,20.616701789183022,19.105746268746095,1.0720208792391102,6.537514375963814,1.3337507735919434,0.2657698160387916,0.34982370761777476
C,0bpm,100.0,100.0,1.6,20.616701789183022,21.014992884204432,2.8949217865580246,9.03362995437609,0.12374397962419632,0.0,0.0
C,0bpm,100.0,150.0,2.4,20.616701789183022,19.082868921747984,1.3452940417963433,6.676421144467975,0.0,0.0,0.0
C,0bpm,100.0,250.0,4.0,20.616701789183022,19.93421003620109,2.2196318837434013,6.514018583303455,0.0,0.0,0.0
C,0bpm,120.0,10.0,0.3,20.616701789183022,38.288911502832924,-5.209499544862411,13.732470077203025,55.71167196498112,32.43168539049059,25.831971813520802
C,0bpm,120.0,15.0,0.4,20.616701789183022,18.423009127912525,0.8198749134066684,5.341598258162689,16.586542433231134,8.833807496442004,8.30161504547238
C,0bpm,120.0,20.0,0.5,20.616701789183022,17.609931671094092,0.6059247414948808,8.898962491258251,8.613517745272517,4.298056688542824,4.782256355979835
C,0bpm,120.0,25.0,0.6,20.616701789183022,22.936781373793316,-0.20843610091317544,9.655575271691209,4.58482133629424,2.1103638775294935,2.3689276670300496
C,0bpm,120.0,30.0,0.8,20.616701789183022,18.667784383801028,1.170798347992255,7.282615473368852,4.884517594495289,1.4607462490213112,1.574099809998166
C,0bpm,120.0,40.0,1.0,20.616701789183022,20.26713309234534,4.725930680184383,6.7995968212212965,3.407966083459461,0.41364991031351356,0.46570695184244687
C,0bpm,120.0,50.0,1.3,20.616701789183022,19.39805015091752,3.1068057121335215,7.352637389730298,0.5048044167664674,0.056028175329341345,0.05413323686356818
C,0bpm,120.0,100.0,2.5,20.616701789183022,19.015563501219894,1.62781805036919,7.57876205977367,0.40011853647414336,0.0,0.0
C,0bpm,120.0,150.0,3.8,20.616701789183022,19.353402511372764,1.7493842458178828,5.925599140842412,0.06016244252602362,0.0,0.0
C,0bpm,120.0,250.0,6.3,20.616701789183022,20.890541861078308,1.744984386837168,4.994984721658584,0.13627859740900683,0.0,0.0
